Frase,Tipo,Cantidad,Moneda,Categoria,Cuenta,Accion,TipoCambio,CantidadConvertida,TipoReporte,PeriodoPreset,PeriodoFrom,PeriodoTo,CategoriasFiltro,CuentasFiltro,MontoMin,MontoMax,TextoFiltro,Mensaje
Me queme 454 en entretenimiento 62,gasto,454,USD,entertainment,,add_expense,1.0,454,,,,,,,,,,
Bought 461 in clothing purchase 63,gasto,461,USD,clothing,,add_expense,1.0,461,,,,,,,,,,
Gaste 468 en comida del dia 64,gasto,468,USD,food,,add_expense,1.0,468,,,,,,,,,,
Pague 475 por transporte del dia 65,gasto,475,USD,transport,,add_expense,1.0,475,,,,,,,,,,
Spent 482 on groceries day 66,gasto,482,USD,groceries,debit,add_expense,1.0,482,,,,,,,,,,
Paid 489 for rent payment 67,gasto,489,USD,rent,checking,add_expense,1.0,489,,,,,,,,,,
Compre 496 en farmacia del dia 68,gasto,496,USD,health,,add_expense,1.0,496,,,,,,,,,,
I spent 503 on utilities bill 69,gasto,503,USD,utilities,credit card,add_expense,1.0,503,,,,,,,,,,
Me queme 510 en entretenimiento 70,gasto,510,USD,entertainment,,add_expense,1.0,510,,,,,,,,,,
Bought 517 in clothing purchase 71,gasto,517,USD,clothing,,add_expense,1.0,517,,,,,,,,,,
Gaste 524 en comida del dia 72,gasto,524,USD,food,,add_expense,1.0,524,,,,,,,,,,
Pague 531 por transporte del dia 73,gasto,531,USD,transport,,add_expense,1.0,531,,,,,,,,,,
Spent 538 on groceries day 74,gasto,538,USD,groceries,debit,add_expense,1.0,538,,,,,,,,,,
Paid 545 for rent payment 75,gasto,545,USD,rent,checking,add_expense,1.0,545,,,,,,,,,,
Compre 552 en farmacia del dia 76,gasto,552,USD,health,,add_expense,1.0,552,,,,,,,,,,
I spent 559 on utilities bill 77,gasto,559,USD,utilities,credit card,add_expense,1.0,559,,,,,,,,,,
Me queme 566 en entretenimiento 78,gasto,566,USD,entertainment,,add_expense,1.0,566,,,,,,,,,,
Bought 573 in clothing purchase 79,gasto,573,USD,clothing,,add_expense,1.0,573,,,,,,,,,,
Gaste 580 en comida del dia 80,gasto,580,USD,food,,add_expense,1.0,580,,,,,,,,,,
Pague 587 por transporte del dia 81,gasto,587,USD,transport,,add_expense,1.0,587,,,,,,,,,,
Spent 594 on groceries day 82,gasto,594,USD,groceries,debit,add_expense,1.0,594,,,,,,,,,,
Paid 601 for rent payment 83,gasto,601,USD,rent,checking,add_expense,1.0,601,,,,,,,,,,
Compre 608 en farmacia del dia 84,gasto,608,USD,health,,add_expense,1.0,608,,,,,,,,,,
I spent 615 on utilities bill 85,gasto,615,USD,utilities,credit card,add_expense,1.0,615,,,,,,,,,,
Me queme 622 en entretenimiento 86,gasto,622,USD,entertainment,,add_expense,1.0,622,,,,,,,,,,
Bought 629 in clothing purchase 87,gasto,629,USD,clothing,,add_expense,1.0,629,,,,,,,,,,
Gaste 636 en comida del dia 88,gasto,636,USD,food,,add_expense,1.0,636,,,,,,,,,,
Pague 643 por transporte del dia 89,gasto,643,USD,transport,,add_expense,1.0,643,,,,,,,,,,
Spent 650 on groceries day 90,gasto,650,USD,groceries,debit,add_expense,1.0,650,,,,,,,,,,
Paid 657 for rent payment 91,gasto,657,USD,rent,checking,add_expense,1.0,657,,,,,,,,,,
Compre 664 en farmacia del dia 92,gasto,664,USD,health,,add_expense,1.0,664,,,,,,,,,,
I spent 671 on utilities bill 93,gasto,671,USD,utilities,credit card,add_expense,1.0,671,,,,,,,,,,
Me queme 678 en entretenimiento 94,gasto,678,USD,entertainment,,add_expense,1.0,678,,,,,,,,,,
Bought 685 in clothing purchase 95,gasto,685,USD,clothing,,add_expense,1.0,685,,,,,,,,,,
Gaste 692 en comida del dia 96,gasto,692,USD,food,,add_expense,1.0,692,,,,,,,,,,
Pague 699 por transporte del dia 97,gasto,699,USD,transport,,add_expense,1.0,699,,,,,,,,,,
Spent 706 on groceries day 98,gasto,706,USD,groceries,debit,add_expense,1.0,706,,,,,,,,,,
Paid 713 for rent payment 99,gasto,713,USD,rent,checking,add_expense,1.0,713,,,,,,,,,,
Compre 720 en farmacia del dia 100,gasto,720,USD,health,,add_expense,1.0,720,,,,,,,,,,
I spent 727 on utilities bill 101,gasto,727,USD,utilities,credit card,add_expense,1.0,727,,,,,,,,,,
Me queme 734 en entretenimiento 102,gasto,734,USD,entertainment,,add_expense,1.0,734,,,,,,,,,,
Bought 741 in clothing purchase 103,gasto,741,USD,clothing,,add_expense,1.0,741,,,,,,,,,,
Gaste 748 en comida del dia 104,gasto,748,USD,food,,add_expense,1.0,748,,,,,,,,,,
Pague 755 por transporte del dia 105,gasto,755,USD,transport,,add_expense,1.0,755,,,,,,,,,,
Spent 762 on groceries day 106,gasto,762,USD,groceries,debit,add_expense,1.0,762,,,,,,,,,,
Paid 769 for rent payment 107,gasto,769,USD,rent,checking,add_expense,1.0,769,,,,,,,,,,
Compre 776 en farmacia del dia 108,gasto,776,USD,health,,add_expense,1.0,776,,,,,,,,,,
I spent 783 on utilities bill 109,gasto,783,USD,utilities,credit card,add_expense,1.0,783,,,,,,,,,,
Me queme 790 en entretenimiento 110,gasto,790,USD,entertainment,,add_expense,1.0,790,,,,,,,,,,
Bought 797 in clothing purchase 111,gasto,797,USD,clothing,,add_expense,1.0,797,,,,,,,,,,
Gaste 804 en comida del dia 112,gasto,804,USD,food,,add_expense,1.0,804,,,,,,,,,,
Pague 811 por transporte del dia 113,gasto,811,USD,transport,,add_expense,1.0,811,,,,,,,,,,
Spent 818 on groceries day 114,gasto,818,USD,groceries,debit,add_expense,1.0,818,,,,,,,,,,
Paid 825 for rent payment 115,gasto,825,USD,rent,checking,add_expense,1.0,825,,,,,,,,,,
Compre 832 en farmacia del dia 116,gasto,832,USD,health,,add_expense,1.0,832,,,,,,,,,,
I spent 839 on utilities bill 117,gasto,839,USD,utilities,credit card,add_expense,1.0,839,,,,,,,,,,
Me queme 846 en entretenimiento 118,gasto,846,USD,entertainment,,add_expense,1.0,846,,,,,,,,,,
Bought 853 in clothing purchase 119,gasto,853,USD,clothing,,add_expense,1.0,853,,,,,,,,,,
Gaste 860 en comida del dia 120,gasto,860,USD,food,,add_expense,1.0,860,,,,,,,,,,
Pague 867 por transporte del dia 121,gasto,867,USD,transport,,add_expense,1.0,867,,,,,,,,,,
Spent 874 on groceries day 122,gasto,874,USD,groceries,debit,add_expense,1.0,874,,,,,,,,,,
Paid 881 for rent payment 123,gasto,881,USD,rent,checking,add_expense,1.0,881,,,,,,,,,,
Compre 888 en farmacia del dia 124,gasto,888,USD,health,,add_expense,1.0,888,,,,,,,,,,
I spent 895 on utilities bill 125,gasto,895,USD,utilities,credit card,add_expense,1.0,895,,,,,,,,,,
Me queme 902 en entretenimiento 126,gasto,902,USD,entertainment,,add_expense,1.0,902,,,,,,,,,,
Bought 909 in clothing purchase 127,gasto,909,USD,clothing,,add_expense,1.0,909,,,,,,,,,,
Gaste 916 en comida del dia 128,gasto,916,USD,food,,add_expense,1.0,916,,,,,,,,,,
Pague 923 por transporte del dia 129,gasto,923,USD,transport,,add_expense,1.0,923,,,,,,,,,,
Spent 930 on groceries day 130,gasto,930,USD,groceries,debit,add_expense,1.0,930,,,,,,,,,,
Paid 937 for rent payment 131,gasto,937,USD,rent,checking,add_expense,1.0,937,,,,,,,,,,
Compre 944 en farmacia del dia 132,gasto,944,USD,health,,add_expense,1.0,944,,,,,,,,,,
I spent 951 on utilities bill 133,gasto,951,USD,utilities,credit card,add_expense,1.0,951,,,,,,,,,,
Me queme 958 en entretenimiento 134,gasto,958,USD,entertainment,,add_expense,1.0,958,,,,,,,,,,
Bought 965 in clothing purchase 135,gasto,965,USD,clothing,,add_expense,1.0,965,,,,,,,,,,
Gaste 972 en comida del dia 136,gasto,972,USD,food,,add_expense,1.0,972,,,,,,,,,,
Pague 979 por transporte del dia 137,gasto,979,USD,transport,,add_expense,1.0,979,,,,,,,,,,
Spent 986 on groceries day 138,gasto,986,USD,groceries,debit,add_expense,1.0,986,,,,,,,,,,
Paid 993 for rent payment 139,gasto,993,USD,rent,checking,add_expense,1.0,993,,,,,,,,,,
Compre 1000 en farmacia del dia 140,gasto,1000,USD,health,,add_expense,1.0,1000,,,,,,,,,,
I spent 1007 on utilities bill 141,gasto,1007,USD,utilities,credit card,add_expense,1.0,1007,,,,,,,,,,
Me queme 1014 en entretenimiento 142,gasto,1014,USD,entertainment,,add_expense,1.0,1014,,,,,,,,,,
Bought 1021 in clothing purchase 143,gasto,1021,USD,clothing,,add_expense,1.0,1021,,,,,,,,,,
Gaste 1028 en comida del dia 144,gasto,1028,USD,food,,add_expense,1.0,1028,,,,,,,,,,
Pague 1035 por transporte del dia 145,gasto,1035,USD,transport,,add_expense,1.0,1035,,,,,,,,,,
Spent 1042 on groceries day 146,gasto,1042,USD,groceries,debit,add_expense,1.0,1042,,,,,,,,,,
Paid 1049 for rent payment 147,gasto,1049,USD,rent,checking,add_expense,1.0,1049,,,,,,,,,,
Compre 1056 en farmacia del dia 148,gasto,1056,USD,health,,add_expense,1.0,1056,,,,,,,,,,
I spent 1063 on utilities bill 149,gasto,1063,USD,utilities,credit card,add_expense,1.0,1063,,,,,,,,,,
Me queme 1070 en entretenimiento 150,gasto,1070,USD,entertainment,,add_expense,1.0,1070,,,,,,,,,,
Bought 1077 in clothing purchase 151,gasto,1077,USD,clothing,,add_expense,1.0,1077,,,,,,,,,,
Gaste 1084 en comida del dia 152,gasto,1084,USD,food,,add_expense,1.0,1084,,,,,,,,,,
Pague 1091 por transporte del dia 153,gasto,1091,USD,transport,,add_expense,1.0,1091,,,,,,,,,,
Spent 1098 on groceries day 154,gasto,1098,USD,groceries,debit,add_expense,1.0,1098,,,,,,,,,,
Paid 1105 for rent payment 155,gasto,1105,USD,rent,checking,add_expense,1.0,1105,,,,,,,,,,
Compre 1112 en farmacia del dia 156,gasto,1112,USD,health,,add_expense,1.0,1112,,,,,,,,,,
I spent 1119 on utilities bill 157,gasto,1119,USD,utilities,credit card,add_expense,1.0,1119,,,,,,,,,,
Me queme 1126 en entretenimiento 158,gasto,1126,USD,entertainment,,add_expense,1.0,1126,,,,,,,,,,
Bought 1133 in clothing purchase 159,gasto,1133,USD,clothing,,add_expense,1.0,1133,,,,,,,,,,
Gaste 1140 en comida del dia 160,gasto,1140,USD,food,,add_expense,1.0,1140,,,,,,,,,,
Pague 1147 por transporte del dia 161,gasto,1147,USD,transport,,add_expense,1.0,1147,,,,,,,,,,
Spent 1154 on groceries day 162,gasto,1154,USD,groceries,debit,add_expense,1.0,1154,,,,,,,,,,
Paid 1161 for rent payment 163,gasto,1161,USD,rent,checking,add_expense,1.0,1161,,,,,,,,,,
Compre 1168 en farmacia del dia 164,gasto,1168,USD,health,,add_expense,1.0,1168,,,,,,,,,,
I spent 1175 on utilities bill 165,gasto,1175,USD,utilities,credit card,add_expense,1.0,1175,,,,,,,,,,
Me queme 1182 en entretenimiento 166,gasto,1182,USD,entertainment,,add_expense,1.0,1182,,,,,,,,,,
Bought 1189 in clothing purchase 167,gasto,1189,USD,clothing,,add_expense,1.0,1189,,,,,,,,,,
Gaste 1196 en comida del dia 168,gasto,1196,USD,food,,add_expense,1.0,1196,,,,,,,,,,
Pague 1203 por transporte del dia 169,gasto,1203,USD,transport,,add_expense,1.0,1203,,,,,,,,,,
Spent 1210 on groceries day 170,gasto,1210,USD,groceries,debit,add_expense,1.0,1210,,,,,,,,,,
Paid 1217 for rent payment 171,gasto,1217,USD,rent,checking,add_expense,1.0,1217,,,,,,,,,,
Compre 1224 en farmacia del dia 172,gasto,1224,USD,health,,add_expense,1.0,1224,,,,,,,,,,
I spent 1231 on utilities bill 173,gasto,1231,USD,utilities,credit card,add_expense,1.0,1231,,,,,,,,,,
Me queme 1238 en entretenimiento 174,gasto,1238,USD,entertainment,,add_expense,1.0,1238,,,,,,,,,,
Bought 1245 in clothing purchase 175,gasto,1245,USD,clothing,,add_expense,1.0,1245,,,,,,,,,,
Gaste 1252 en comida del dia 176,gasto,1252,USD,food,,add_expense,1.0,1252,,,,,,,,,,
Pague 1259 por transporte del dia 177,gasto,1259,USD,transport,,add_expense,1.0,1259,,,,,,,,,,
Spent 1266 on groceries day 178,gasto,1266,USD,groceries,debit,add_expense,1.0,1266,,,,,,,,,,
Paid 1273 for rent payment 179,gasto,1273,USD,rent,checking,add_expense,1.0,1273,,,,,,,,,,
Compre 1280 en farmacia del dia 180,gasto,1280,USD,health,,add_expense,1.0,1280,,,,,,,,,,
I spent 1287 on utilities bill 181,gasto,1287,USD,utilities,credit card,add_expense,1.0,1287,,,,,,,,,,
Me queme 1294 en entretenimiento 182,gasto,1294,USD,entertainment,,add_expense,1.0,1294,,,,,,,,,,
Bought 1301 in clothing purchase 183,gasto,1301,USD,clothing,,add_expense,1.0,1301,,,,,,,,,,
Gaste 1308 en comida del dia 184,gasto,1308,USD,food,,add_expense,1.0,1308,,,,,,,,,,
Pague 1315 por transporte del dia 185,gasto,1315,USD,transport,,add_expense,1.0,1315,,,,,,,,,,
Spent 1322 on groceries day 186,gasto,1322,USD,groceries,debit,add_expense,1.0,1322,,,,,,,,,,
Paid 1329 for rent payment 187,gasto,1329,USD,rent,checking,add_expense,1.0,1329,,,,,,,,,,
Compre 1336 en farmacia del dia 188,gasto,1336,USD,health,,add_expense,1.0,1336,,,,,,,,,,
I spent 1343 on utilities bill 189,gasto,1343,USD,utilities,credit card,add_expense,1.0,1343,,,,,,,,,,
Me queme 1350 en entretenimiento 190,gasto,1350,USD,entertainment,,add_expense,1.0,1350,,,,,,,,,,
Bought 1357 in clothing purchase 191,gasto,1357,USD,clothing,,add_expense,1.0,1357,,,,,,,,,,
Gaste 1364 en comida del dia 192,gasto,1364,USD,food,,add_expense,1.0,1364,,,,,,,,,,
Pague 1371 por transporte del dia 193,gasto,1371,USD,transport,,add_expense,1.0,1371,,,,,,,,,,
Spent 1378 on groceries day 194,gasto,1378,USD,groceries,debit,add_expense,1.0,1378,,,,,,,,,,
Paid 1385 for rent payment 195,gasto,1385,USD,rent,checking,add_expense,1.0,1385,,,,,,,,,,
Compre 1392 en farmacia del dia 196,gasto,1392,USD,health,,add_expense,1.0,1392,,,,,,,,,,
I spent 1399 on utilities bill 197,gasto,1399,USD,utilities,credit card,add_expense,1.0,1399,,,,,,,,,,
Me queme 1406 en entretenimiento 198,gasto,1406,USD,entertainment,,add_expense,1.0,1406,,,,,,,,,,
Bought 1413 in clothing purchase 199,gasto,1413,USD,clothing,,add_expense,1.0,1413,,,,,,,,,,
Gaste 1420 en comida del dia 200,gasto,1420,USD,food,,add_expense,1.0,1420,,,,,,,,,,
Me depositaron 59 por freelance 1,ingreso,59,USD,freelance,paypal,add_income,1.0,59,,,,,,,,,,
Received 68 from client invoice 2,ingreso,68,USD,freelance,checking,add_income,1.0,68,,,,,,,,,,
Got paid 77 as salary payment 3,ingreso,77,USD,salary,bank,add_income,1.0,77,,,,,,,,,,
Cobre 86 por venta realizada 4,ingreso,86,USD,sale,cash,add_income,1.0,86,,,,,,,,,,
Earned 95 from side job 5,ingreso,95,USD,work,,add_income,1.0,95,,,,,,,,,,
Me entro 104 por bono mensual 6,ingreso,104,USD,bonus,savings,add_income,1.0,104,,,,,,,,,,
Deposited 113 from refund case 7,ingreso,113,USD,refund,bank,add_income,1.0,113,,,,,,,,,,
Recibi 122 de salario del periodo 8,ingreso,122,USD,salary,bank,add_income,1.0,122,,,,,,,,,,
Me depositaron 131 por freelance 9,ingreso,131,USD,freelance,paypal,add_income,1.0,131,,,,,,,,,,
Received 140 from client invoice 10,ingreso,140,USD,freelance,checking,add_income,1.0,140,,,,,,,,,,
Got paid 149 as salary payment 11,ingreso,149,USD,salary,bank,add_income,1.0,149,,,,,,,,,,
Cobre 158 por venta realizada 12,ingreso,158,USD,sale,cash,add_income,1.0,158,,,,,,,,,,
Earned 167 from side job 13,ingreso,167,USD,work,,add_income,1.0,167,,,,,,,,,,
Me entro 176 por bono mensual 14,ingreso,176,USD,bonus,savings,add_income,1.0,176,,,,,,,,,,
Deposited 185 from refund case 15,ingreso,185,USD,refund,bank,add_income,1.0,185,,,,,,,,,,
Recibi 194 de salario del periodo 16,ingreso,194,USD,salary,bank,add_income,1.0,194,,,,,,,,,,
Me depositaron 203 por freelance 17,ingreso,203,USD,freelance,paypal,add_income,1.0,203,,,,,,,,,,
Received 212 from client invoice 18,ingreso,212,USD,freelance,checking,add_income,1.0,212,,,,,,,,,,
Got paid 221 as salary payment 19,ingreso,221,USD,salary,bank,add_income,1.0,221,,,,,,,,,,
Cobre 230 por venta realizada 20,ingreso,230,USD,sale,cash,add_income,1.0,230,,,,,,,,,,
Earned 239 from side job 21,ingreso,239,USD,work,,add_income,1.0,239,,,,,,,,,,
Me entro 248 por bono mensual 22,ingreso,248,USD,bonus,savings,add_income,1.0,248,,,,,,,,,,
Deposited 257 from refund case 23,ingreso,257,USD,refund,bank,add_income,1.0,257,,,,,,,,,,
Recibi 266 de salario del periodo 24,ingreso,266,USD,salary,bank,add_income,1.0,266,,,,,,,,,,
Me depositaron 275 por freelance 25,ingreso,275,USD,freelance,paypal,add_income,1.0,275,,,,,,,,,,
Received 284 from client invoice 26,ingreso,284,USD,freelance,checking,add_income,1.0,284,,,,,,,,,,
Got paid 293 as salary payment 27,ingreso,293,USD,salary,bank,add_income,1.0,293,,,,,,,,,,
Cobre 302 por venta realizada 28,ingreso,302,USD,sale,cash,add_income,1.0,302,,,,,,,,,,
Earned 311 from side job 29,ingreso,311,USD,work,,add_income,1.0,311,,,,,,,,,,
Me entro 320 por bono mensual 30,ingreso,320,USD,bonus,savings,add_income,1.0,320,,,,,,,,,,
Deposited 329 from refund case 31,ingreso,329,USD,refund,bank,add_income,1.0,329,,,,,,,,,,
Recibi 338 de salario del periodo 32,ingreso,338,USD,salary,bank,add_income,1.0,338,,,,,,,,,,
Me depositaron 347 por freelance 33,ingreso,347,USD,freelance,paypal,add_income,1.0,347,,,,,,,,,,
Received 356 from client invoice 34,ingreso,356,USD,freelance,checking,add_income,1.0,356,,,,,,,,,,
Got paid 365 as salary payment 35,ingreso,365,USD,salary,bank,add_income,1.0,365,,,,,,,,,,
Cobre 374 por venta realizada 36,ingreso,374,USD,sale,cash,add_income,1.0,374,,,,,,,,,,
Earned 383 from side job 37,ingreso,383,USD,work,,add_income,1.0,383,,,,,,,,,,
Me entro 392 por bono mensual 38,ingreso,392,USD,bonus,savings,add_income,1.0,392,,,,,,,,,,
Deposited 401 from refund case 39,ingreso,401,USD,refund,bank,add_income,1.0,401,,,,,,,,,,
Recibi 410 de salario del periodo 40,ingreso,410,USD,salary,bank,add_income,1.0,410,,,,,,,,,,
Me depositaron 419 por freelance 41,ingreso,419,USD,freelance,paypal,add_income,1.0,419,,,,,,,,,,
Received 428 from client invoice 42,ingreso,428,USD,freelance,checking,add_income,1.0,428,,,,,,,,,,
Got paid 437 as salary payment 43,ingreso,437,USD,salary,bank,add_income,1.0,437,,,,,,,,,,
Cobre 446 por venta realizada 44,ingreso,446,USD,sale,cash,add_income,1.0,446,,,,,,,,,,
Earned 455 from side job 45,ingreso,455,USD,work,,add_income,1.0,455,,,,,,,,,,
Me entro 464 por bono mensual 46,ingreso,464,USD,bonus,savings,add_income,1.0,464,,,,,,,,,,
Deposited 473 from refund case 47,ingreso,473,USD,refund,bank,add_income,1.0,473,,,,,,,,,,
Recibi 482 de salario del periodo 48,ingreso,482,USD,salary,bank,add_income,1.0,482,,,,,,,,,,
Me depositaron 491 por freelance 49,ingreso,491,USD,freelance,paypal,add_income,1.0,491,,,,,,,,,,
Received 500 from client invoice 50,ingreso,500,USD,freelance,checking,add_income,1.0,500,,,,,,,,,,
Got paid 509 as salary payment 51,ingreso,509,USD,salary,bank,add_income,1.0,509,,,,,,,,,,
Cobre 518 por venta realizada 52,ingreso,518,USD,sale,cash,add_income,1.0,518,,,,,,,,,,
Earned 527 from side job 53,ingreso,527,USD,work,,add_income,1.0,527,,,,,,,,,,
Me entro 536 por bono mensual 54,ingreso,536,USD,bonus,savings,add_income,1.0,536,,,,,,,,,,
Deposited 545 from refund case 55,ingreso,545,USD,refund,bank,add_income,1.0,545,,,,,,,,,,
Recibi 554 de salario del periodo 56,ingreso,554,USD,salary,bank,add_income,1.0,554,,,,,,,,,,
Me depositaron 563 por freelance 57,ingreso,563,USD,freelance,paypal,add_income,1.0,563,,,,,,,,,,
Received 572 from client invoice 58,ingreso,572,USD,freelance,checking,add_income,1.0,572,,,,,,,,,,
Got paid 581 as salary payment 59,ingreso,581,USD,salary,bank,add_income,1.0,581,,,,,,,,,,
Cobre 590 por venta realizada 60,ingreso,590,USD,sale,cash,add_income,1.0,590,,,,,,,,,,
Earned 599 from side job 61,ingreso,599,USD,work,,add_income,1.0,599,,,,,,,,,,
Me entro 608 por bono mensual 62,ingreso,608,USD,bonus,savings,add_income,1.0,608,,,,,,,,,,
Deposited 617 from refund case 63,ingreso,617,USD,refund,bank,add_income,1.0,617,,,,,,,,,,
Recibi 626 de salario del periodo 64,ingreso,626,USD,salary,bank,add_income,1.0,626,,,,,,,,,,
Me depositaron 635 por freelance 65,ingreso,635,USD,freelance,paypal,add_income,1.0,635,,,,,,,,,,
Received 644 from client invoice 66,ingreso,644,USD,freelance,checking,add_income,1.0,644,,,,,,,,,,
